Mixture,Macs_IFN_B1a_Macs_IFN_y,Macs_IL_10,Macs_IL_4_Macs_IL_13,DCs_IFN_B1a,DCs_IFN_B1a_DCs_IFN_y,DCs_IL_10,Monos_IFN_B1a_Monos_IFN_y,Monos_IL_10,Monos_IL_4_Monos_IL_13,PMNs_IFN_B1a,PMNs_IFN_B1a_PMNs_IFN_y,PMNs_IL_4_PMNs_IL_13,P-value,Correlation,RMSE
209_0,0.0676917959548449,0,0,0,0.160472263162039,0.2277516627421,0,0,0.0282250094008757,0.244542734730229,0.271316534009912,0,0,0.828936916395029,0.58068188854923
211_0,0.0297410305063578,0,0.0181300180117768,0,0.184198707525342,0.174389752787574,0,0,0.0670946192280387,0.307418942467028,0.219026929473883,0,0,0.850682897369116,0.56694200554863
213_0,0,0.0181890830180567,0,0,0.177907662770225,0.218212239554989,0,0,0.0761070003486263,0.168237603910558,0.256634336587087,0.0847120738104586,0,0.863708018317644,0.577760084382705
217_0,0.0206103299709683,0,0,0,0.209960033227343,0.200272087512278,0,0,0.0312037484174684,0.252007182453482,0.28594661841846,0,0,0.879185303109096,0.522445295007132
219_0,0.0334057851117363,0,0,0,0.269176796748118,0.216218773206666,0,0,0.0523605834071486,0.167051311847031,0.2617867496793,0,0,0.831128325031448,0.592358797054557
220_0,0.00451688470224786,0,0.0248762512976301,0,0.145539932858304,0.190137412740838,0,0,0.0938914546887575,0.0917192092129447,0.449318854499277,0,0,0.896837423165757,0.492909359793512
221_0,0.0215136237462532,0.00437044907302088,0,0,0.155276076365314,0.211394424297767,0,0,0.120056453502826,0.0488081274580818,0.406942972815162,0.0316378727415744,0,0.877537447121811,0.538840968793468
222_0,0.012215837588076,0,0.025198330512167,0,0.110373706824305,0.314745317109108,0,0,0.0107115262987322,0.421664139790155,0.091352015433735,0.0137391264437214,0,0.868440053771052,0.569068024143169
224_0,0,0.0754091205070227,0,0,0.0614490710253824,0.152040304213117,0,0,0.202930033803811,0.120237960821809,0.295726650101449,0.0922068595274086,0,0.838085133100052,0.608518366058067
225_0,0.0030889808636221,0,0.0271622331184884,0,0.0340157818645955,0.296959518681099,0,0,0.0585536853021674,0.150490955421692,0.387233772964333,0.0424950717840034,0,0.880450678093176,0.529713045582137
232_0,0.0393178516520317,0,0.0134295458394559,0,0.168718493496147,0.21676638847758,0,0,0.048132707307773,0.272412455801564,0.224335354112133,0.0168872033133151,0,0.849086669262769,0.571920814950694
238_0,0.0624325611600192,0,0,0,0.128382557839666,0.212849498763234,0,0,0.0431001919206447,0.0954000815634325,0.457835108753003,0,0,0.863220022853213,0.523994882204427
243_0,0.0184939204749909,0,0.0287512769268249,0,0.0823153453146946,0.221459386029106,0,0,0.0699188100209068,0.342089910490527,0.23697135074295,0,0,0.863170339677127,0.550853834345757
244_0,0.0396868079188714,0,0.00959561791506927,0,0.137900682369359,0.296602547619577,0,0,0.0239005016468355,0.165290200491353,0.327023642038935,0,0,0.858374733234825,0.552443135089179
246_0,0,0.0440720260697002,0.00846794975894029,0,0.178000515071889,0.13697517935992,0,0,0.0186307335697403,0.0817432415389548,0.43632561593162,0.0957847386992361,0,0.843529776410327,0.558394086104229
249_0,0.0585845253883194,0,0.0414805740149039,0,0.0852295106979984,0.169171653288207,0,0,0.0651235668776513,0.256107532527973,0.324302637204947,0,0,0.776748065874764,0.634310828340029
253_0,0.0225715202270321,0,0.0171713225649652,0,0.21107466825277,0.297502733326953,0,0,0.0164025352628641,0.191947013041904,0.243330207323511,0,0,0.784662847443119,0.641570413706352
262_0,0.0430758875928366,0,0,0,0.229579618787987,0.217728310478163,0,0,0.0310185980396801,0.155316938330434,0.323280646770899,0,0,0.822067105645448,0.590091711395579
263_0,0.0380652577743857,0,0,0,0.0320371295805804,0.379031351862797,0,0,0.0476373184852842,0.309438027977832,0.193790914319121,0,0,0.839237683219729,0.59302200542718
267_0,0.0369389035006825,0,0,0,0.107930356395044,0.231178300579669,0,0,0.101567032033381,0.165765737539898,0.356619669951326,0,0,0.899004622194861,0.502952151939214
270_0,0,0.0313557419448323,0,0,0.145462243200447,0.202043337061754,0,0,0.129720820538589,0.0795242023855101,0.290608821630326,0.121284833238541,0,0.860716796173988,0.594100418731478
271_0,0,0.0571937675316916,0,0,0.209946023491953,0.187750920266748,0,0,0.0922951543814906,0.124139031890775,0.289959818434787,0.0387152840025548,0,0.790860181454333,0.637169557526731
272_0,0,0.0558781442308953,0,0,0.126303514092548,0.243069482780606,0.023173858908844,0,0.166045410633604,0.123555761314036,0.182429066164173,0.079544761875293,0,0.78068060855282,0.677983567666904
275_0,0,0.0190331885079067,0,0,0.315640359548674,0.132362032947164,0,0,0.05667371414092,0.0436385064823057,0.358883526170265,0.0737686722027647,0,0.856713296336583,0.563768381045004
278_0,0.016298563038263,0,0,0,0.334434194018937,0.159305027100684,0,0,0.0485235832158716,0.110774979460994,0.33066365316525,0,0,0.815039318917237,0.601107660030015
279_0,0,0.057261282078878,0,0,0.0734662159700711,0.196923742426213,0,0,0.0996159110893993,0.0864267933853183,0.36375549579869,0.12255055925143,0,0.852452510405785,0.575989876680959
280_0,0,0.0938293632191369,0.022064502593427,0,0,0.240728387742069,0.0123693735073368,0,0.0695969239522063,0.14937090819645,0.384057044071666,0.0279834967177072,0,0.830094468003213,0.579847038413583
281_0,0,0,0,0,0.283915429058056,0.0975144333065586,0.0108813591750848,0,0.0296475666015469,0,0.578041211858754,0,0,0.927704575448305,0.405337539023609
282_0,0.00258862460148575,0,0.00429064530738241,0,0.106663997568953,0.243569398723221,0,0,0.0730329405059421,0.212992000555725,0.356862392737291,0,0,0.899409821213738,0.496223922086634
283_0,0.0371535059555246,0,0,0,0.227357321259404,0.204630829448216,0,0,0.0310233042697214,0.0948699522046149,0.404965086862518,0,0,0.87013940326068,0.524509300068911
287_0,0.0177851930598044,0,0,0,0.256691994849634,0.116827536526151,0,0,0.103367972096711,0.203825476235186,0.301501827232514,0,0,0.848140371013921,0.5651972906514
290_0,0.0167482733690451,0,0,0,0.210233081920419,0.14385109416721,0,0,0.110148915955263,0.183953345611148,0.335065288976914,0,0,0.868849205745199,0.539418589297472
