Mixture,CD14_positive_monocyte,CD16_positive_monocyte,CD4_positive_alpha_beta_T_cell,CD56bright_natural_killer_cell,CD56dim_natural_killer_cell,CD8_positive_alpha_beta_T_cell,MAST_cell,basophil,eosinophil,gamma_delta_T_cell,hematopoietic_progenitor,macrophage_m0,macrophage_m1,macrophage_m2,memory_B_cell,myeloid_dendritic_cell,naive_B_cell,neutrophil,plasma_cell,plasmacytoid_dendritic_cell,P-value,Correlation,RMSE
136_7,0.0755055948260613,0.0350863162861977,0.345551074320827,0.0371493893341697,0.00157967405985511,0.0278856552069762,0,0.0112584969593443,0.0167780705733166,0,0,0,0,0.0233747673318056,0,0,0.140798837394057,0.28503212370739,0,0,0,0.848185716748444,0.654005467243194
146_7,0.14999492093283,0,0.33423316785773,0.107715793522314,0,0.0196156595331991,0,0.00453627455500686,0,0,0.000523951852955028,0,0,0.0436023976510865,0,0,0.0847746764678189,0.255003157627059,0,0,0,0.864280885286994,0.648906917737329
148_7,0.120549524160633,0.0159057827375668,0.437748119605755,0.0941927191709811,0,0.0570266270124159,0.00104409333842801,0,0.0309794089541636,0,0,0,0,0.0127871637254765,0,0,0.127945603763169,0.101820957531411,0,0,0,0.82393454331722,0.676997957595415
151_7,0.118716947670919,0.015064332822469,0.334889724565496,0.0991735341748189,0,0.0437789358175785,0,0,0,0,0.00496719781822422,0,0,0.0264352335188046,0,0,0.109419519889775,0.244584540024812,0,0.00297003369710275,0,0.877731697703656,0.642900534804432
155_7,0.098107700323107,0.00431937678562368,0.374581790406906,0.0664117593425916,0,0.0156200893736669,0,0.00197674413457372,0.0074138509358378,0,0.000202993801833722,0,0,0.0290848007610787,0,0,0.092753651420857,0.305607469191034,0.00391977352289014,0,0,0.849006277599994,0.664892792213062
161_7,0.0563924352820904,0.0079797087184218,0.421569745029081,0.085457454228613,0,0.0685096144899777,0,0,0.0313664256605068,0,0,0,0,0.0334179206343176,0,0,0.0956960077773132,0.187311762928518,0.00131942231745479,0.0109795029337056,0,0.835687141481949,0.683850008598556
166_7,0.107219162250918,0.00341778658055508,0.391781844278232,0.138910726626539,0,0.0192770866017757,0,0,0,0,0,0,0,0.0220874321949782,0,0,0.0952241243147845,0.222081837152218,0,0,0,0.847227206265323,0.676888726462376
169_7,0.105169017452688,0.044384008232332,0.333093084904372,0.10850270954286,0,0.0223328505667166,0,0.00800600099904441,0,0,0,0.00317656584113158,0,0.0254055684466225,0,0,0.120791195112595,0.214061333346053,0.00206747917981026,0.0130101863757757,0,0.849943820692811,0.656966345012465
170_7,0.0979373854469761,0,0.322243926972472,0.123995444493801,0,0.103406813630334,0,0.00138227999380851,0,0,0,0,0,0.0249126517789594,0,0,0.120622807748032,0.205498689935616,0,0,0,0.860439546521256,0.66226470096245
175_7,0.116923032535823,0.0206986574872443,0.348963805964061,0.105193443627634,0,0.0534495051835228,0,0.00238765569314887,0,0,0,0,0,0.0403471360929458,0,0,0.115417370764172,0.191535037710771,0,0.00508435494067676,0,0.826717804276951,0.67513272468426
177_7,0.0914172937623772,0.0279207837722657,0.31694928669541,0.0867749052436333,0,0.00694251229418563,0,0.00098268915880125,0,0,0,0,0,0.039402763878524,0,0,0.0963330670700275,0.333276698124775,0,0,0,0.864744154925207,0.643687896810434
184_7,0.0836359426044244,0,0.426181797803567,0.0894968722147396,0,0.00895928749035473,0,0,0,0,0,0,0,0.0540554024498345,0,0,0.107820397282537,0.218452171399209,0,0.0113981287553329,0,0.854486912721781,0.67039988280386
185_7,0.052580274209949,0.0328353753597711,0.332910100028387,0.140489093816853,0,0.0934550426677424,0,0.00430969738335625,0.0296456398213919,0,0,0.00456828993040057,0,0.0108881640745291,0,0,0.128830147434402,0.169488175273218,0,0,0,0.879855235508282,0.649939688116942
194_7,0.073259840305964,0.00739322636537653,0.40713541710187,0.11600455792138,0,0.0381015429535167,0,0.000941203754496446,0.0189554620610508,0,0.000303373989013121,0,0,0.025712505684822,0,0,0.0889907865257693,0.210743281145713,0,0.0124588021910278,0,0.844964046280342,0.683213688815198
196_7,0.0190747664451229,0.0338105046931436,0.34751804892031,0.0834030465626331,0,0.0184420535718185,0,0,0,0,0,0,0.00780095225575812,0.0601815477397353,0,0,0.0811148110121522,0.32781944935421,0.000420215098548333,0.020414604346568,0,0.760760854837592,0.722408246582881
203_7,0.10248541771195,0,0.380754205122431,0.0888509764341077,0,0.0384029859821586,0,0.00663047632267991,0,0,0,0,0,0.0645185441754021,0,0,0.148888715154505,0.169468679096766,0,0,0,0.781638542242599,0.705988708402343
207_7,0.0668851832604872,0.0100503693167041,0.43700193108397,0.112406082444004,0,0.0403700654293255,0,0.00280053658461609,0,0,0,0,0,0.037052381903989,0,0,0.133068947656994,0.148747850896458,0.0034053776257625,0.00821127379768856,0,0.881275103223666,0.650716018218861
208_7,0.063228286228686,0.0350573928219742,0.392371217793836,0.133042548860945,0,0.0526213225513414,0,0,0,0,0,0.000403085058298565,0,0.0153793192312567,0,0,0.103274977070634,0.202516551453528,0,0.00210529892949961,0,0.826883355621845,0.684261279465346
209_7,0.0951678113336425,0.0516648385372095,0.300639637814466,0.0986562650485748,0,0.0242926504043633,0,0,0.00980826491791207,0,0,0,0,0.0436870272425248,0,0,0.0846417375419226,0.275466066497132,0.00304269914495516,0.012933001517297,0,0.8641609642805,0.641009805497427
211_7,0.0452536564246342,0.0258715085649959,0.409585761256134,0.0798491579678084,0,0.0551605502357517,0,0.00236283357758759,0,0,0.0111883194618425,0.00443228796259182,0,0.0135634522652119,0,0,0.138419671863964,0.210160562533564,0.00415223788591375,0,0,0.87582943492064,0.649814312642353
213_7,0.148550650344927,0,0.368404772922674,0.078380239743762,0,0.0436965424492319,0,0.00224655582773858,0,0,0,0,0,0.0359371805308063,0,0,0.13839084920763,0.183033811852752,0,0.00135939712047767,0,0.857092530548317,0.652084457067399
217_7,0.16044210810456,0,0.335569781624302,0.0749556598206782,0,0.0474710569606931,0,0.00385843738634202,0.00475434046382258,0,0,0,0,0.025496037424482,0,0,0.114862731805867,0.213872750892829,0,0.0187170955164229,0,0.843870227423606,0.664218539166899
219_7,0.0450816819138368,0.0111761921409027,0.433553362460021,0.083373856410381,0,0.0603413931073813,0,0,0,0,0,0,0,0.0250034639552375,0,0,0.115321167784991,0.216663273942669,0,0.00948560828457913,0,0.842621544170744,0.677771795203827
220_7,0.108071526632938,0,0.358532007628812,0.131487418249205,0,0.0248961633522673,0,0.00315957759126538,0,0,0,0.00147268711797295,0,0.0223753774143286,0,0,0.0808936913599931,0.255782989508214,0,0.0133285611450045,0,0.822854193824836,0.694207132154719
221_7,0.112278633873822,0,0.281295549493858,0.103057709148706,0,0.00964337632983668,0,0.000675534745675193,0,0,0,0,0,0.0425196362527448,0,0,0.109263127119496,0.325696689661159,0.00217207455261731,0.0133976688220854,0,0.86563370540182,0.654143589314876
222_7,0.0404528617777329,0.012638466985667,0.411199486480817,0.0947451120676516,0,0.0361821537855843,0,0.0118265981600028,0,0,0,0,0,0.0198595022347806,0,0,0.162759098179894,0.2077109231384,0,0.00262579718947014,0,0.869202885491774,0.657988012965493
224_7,0.073118582459922,0.00997429936325348,0.426259825979269,0.0927305767260591,0,0.0294292840300611,0,0.000258151097851881,0,0,0,0,0,0.0276949755681013,0,0,0.0791990236542304,0.242479280747241,0,0.018856000374011,0,0.841814657859961,0.681813850965481
225_7,0.0618424580787266,0,0.400742889188043,0.0977012638473895,0,0.0611882669042282,0,0,0.00563739081710369,0,0.000336780840730125,0,0,0.0427338855323596,0,0,0.1008696575557,0.22350020662213,0,0.00544720061358922,0,0.820631205302492,0.693209079358248
232_7,0.0687589538560361,0.000511640721150367,0.409068216302863,0.104194957967783,0,0.0336791072603002,0,0,0.00491524191146325,0,0,0,0,0.0327565748022287,0,0,0.11474186039739,0.226306874637419,0,0.00506657214336756,0,0.860035786483614,0.670818929809931
238_7,0.0945703789062163,0.00249972250974576,0.389245497853904,0.0732581664661575,0,0.0248688546226111,0,0,0.0240930572051809,0,0,0,0,0.0226897858184669,0,0,0.137887368287237,0.22761348803787,0,0.00327368029261151,0,0.875258109693245,0.653237552554932
