Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
326_3,0.00189152001284347,0.0135328522881772,0.00208517971890422,0.1587148575204,0.0619301674830815,0.0892605625731255,0.0328391892578423,0,0,0,0.176594692390118,0,0.0210528938161455,0.00125005111258957,0,0,0,0,0.00804226474021187,0,0,0.432805769086561,0,0.902484552432632,0.497073345869998
332_3,0.0280605522676325,0,0.000182655075931606,0.0536870633805303,0.0883443098909236,0.171314015130402,0.011414726747528,0,0,0,0.136986660298306,0,0.00804159175507548,0.001893867911374,0,0.00658719845840713,0,0,0.012279513355809,0,0,0.481207845728081,0,0.924448219793185,0.45637017246425
334_3,0.0394263506024564,0,0.00676914592288645,0.169555767283055,0.057961807811851,0.0165236959302095,0,0,0.0398564523952766,0,0.149179843991879,0.00306077317745615,0.0749869188647228,0.00730141932065908,0,0.00878452007399205,0,0,0.0331621308024707,0,0,0.393431173823085,0,0.896212969244152,0.524446218627225
335_3,0.0663926910539571,0.010512468839104,0,0.0545414001485751,0.100824524479309,0.193875918425609,0.00313623808090548,0,0.0150150016864129,0,0.0865300998663988,0,0,0,0,0.00346836910299184,0,0.00145417111555906,0.0165298087718934,0,0,0.447719308429284,0,0.931421317935404,0.46527374178738
338_3,0.0909832023258494,0,0.00478285520816571,0.0412151869648835,0.119817664827992,0.0515466813774385,0.0149378036005056,0,0.0333239279060901,0,0.065917080771292,0,0,0,0,0.0133171508241004,0,0,0.00998405495986813,0,0,0.554174391233815,0,0.926036629401449,0.430362830134418
343_3,0.0169992807642389,0.0020779726302649,0.00111261595276349,0.103203653218672,0.0187658202378241,0.120153455522301,0.00662151721866885,0,0.036464007859829,0,0.0830991285460971,0,0.122070370001571,0,0,0.0133799903685763,0,0,0.0134338611682926,0,0,0.462618326510901,0,0.946263945853735,0.422420098477055
344_3,0.0518804646591999,0,0.00223739019466192,0.21140119242985,0.12168331997056,0.0489481501730617,0.00794094618665495,0,0.0423514902138012,0,0.129080741230125,0,0.0489168085021304,0.000256059186481096,0,0.00459869926990405,0,0,0.00671167178512182,0,0,0.323993066198449,0,0.908053527950422,0.526910132266969
348_3,0.0686148832927428,0.0133491743052404,0.0203876593518384,0.129793274173223,0.162290505862589,0.00662122563899465,0.0092726111609103,0,0.100398952828786,0,0.0429569372341941,0.00908495403988509,0.00128336173946702,0,0,0.0267574005625667,0.00484661607984438,0,0.0242916610175038,0,0,0.380050782712215,0,0.915689840204753,0.519230064920841
349_3,0.0805371435745862,0,0.000625037638326963,0.0985258159258675,0.124515626295311,0.176646317505076,0.00890050575518591,0,0.00318469907671448,0,0.0966162481355349,0,0.00626281518309871,0.00451255529352435,0,0.00388057507244874,0,0.00101057810638154,0,0,0,0.394782082437944,0,0.914134233026906,0.504058347546025
350_3,0.0424909926203724,0,0.012998327112058,0.0381019059495181,0.0922219375919324,0.0940984731269858,0.0160503195574497,0,0.0283731849745541,0,0.139131928298728,0,0,0,0,0.0121271536055732,0,0,0.00504882553342752,0,0,0.519356951629401,0,0.924850807360562,0.444585696875744
353_3,0.0185708684051811,0.0344905157758192,0.00468460638710999,0.074881491107107,0.123126653468568,0.0847164659768184,0.0374847189397041,0,0.0037613971246007,0.00225479541348563,0.161679231345901,0,0.0437931066597145,0,0,0.00207230134752777,0,0,0.00307941144510944,0,0,0.405404436603353,0,0.927644953253268,0.483558417717937
354_3,0.00822261517847724,0.0463662980516228,0.00349836083127026,0.0618553390279608,0.166739865317859,0.149523080346982,0.0121470348532425,0,0,0,0.0992954517737011,0,0,0,0,0.0187102341334907,0.00236644947400074,0.00655072994906694,0.0155394126463924,0,0,0.409185128415934,0,0.911591046211934,0.507958152295635
356_3,0.0671340957597484,0.00585313449326095,0.00314676471018759,0.110469064089338,0.110435459315325,0.091145064575662,0.0172736499751159,0,0.00606997056406912,0,0.0602820310572849,0,0,0,0,0.00977098088689525,0,0.00175054565898711,0.00578495669904439,0,0,0.510884282215081,0,0.93986094632094,0.424173697842097
357_3,0.0217076327096506,0.0120350025870088,0.00400869050637735,0.0913288374081064,0.0975771825817185,0.0932770150944432,0.0130156583928207,0,0.0207155126334542,0,0.114685547544184,0,0.0543743861564215,0,0,0.00390870553661002,0,0,0.00853571747341056,0,0,0.464830111375794,0,0.913649528117688,0.476809585156395
359_3,0.0313582949317083,0,0.000487565387478651,0.197871992393889,0.0208714342916341,0.126445190025534,0.0262427701782619,0,0.00549149384325553,0,0.13528494233619,0,0.0549329751056604,0,0,0.00793350858491469,0,0.000832610689475223,0.000800375412758679,0,0,0.391446846819239,0,0.922233956286624,0.486934215575683
362_3,0.0390274994625485,0.0119912145093166,0.00167012268050322,0.0539632804058234,0.13975322023039,0.183711137487133,0.0169200912673084,0,0,0,0.0905575768961191,0,0.0491559814052684,0,0,0.0058062121867451,0,0.00727448803256698,0.00835443119606589,0,0,0.391814744240211,0,0.917461539194154,0.503271036955824
364_3,0.0081372030199293,0.0187123388606341,0.0037754112706826,0.0897268575856447,0.0772505934383577,0.0911132070115389,0.0272743201456746,0,0.00179890439943855,0,0.131414282139171,0,0,0,0,0.00343711824227448,0,0,0.00769852347903157,0,0,0.539661240407622,0,0.918903163927021,0.443431924034349
365_3,0.0193697320865395,0.0156426177584693,0.00125068851241113,0.110797821467925,0.0883649440535651,0.169141354184177,0.0179372033264632,0,0,0,0.113525886597654,0,0,0,0,0,0,0.000317488781687777,0,0,0,0.463652263231109,0,0.909327023573227,0.482419247964226
371_3,0.045031740602481,0,0.00417418714201862,0.0703985865484523,0.118072471052372,0.144107407225113,0.0118697536981886,0,0.0117789788513346,0,0.127673816307983,0,0,0,0,0.00442634179656684,0,0,0.00590160669236333,0,0,0.456565110083127,0,0.918459972611729,0.475785725679955
372_3,0.0262143840515902,0.0067897479551945,0.0111729147581408,0.0754317084744298,0.0423848469322066,0.105517480886849,0.00746002269459256,0,0.00933643638623092,0,0.078719992082081,0,0,0,0,0,0,0,0.0233522672399585,0,0,0.613620198538726,0,0.905272963887124,0.44592951159829
373_3,0.0680266503093741,0,0.0144887013362016,0.174110382420571,0.113723036526579,0.122903054199083,0.00996835375999338,0,0.0237062342470561,0,0.140755081452491,0,0.017193834168724,0,0,0.00815271868789028,0.00191753508090968,0,0,0,0,0.305054417811127,0,0.878965892430719,0.564967243270074
375_3,0.0178771035946422,0.00490400990265012,0.00296564222163525,0.0506748704857941,0.0293151373075488,0.10136433407885,0.0202053251628511,0,0.00352042090779175,0,0.207356613818792,0,0.0592871879733952,0.00208038023264694,0,0.00287569763036778,0,0,0.00699038213333805,0,0,0.490582894549697,0,0.929486208346752,0.435750870566547
